Symbol,Name,Sector
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Information Technology
ADBE,Adobe Systems Inc,Information Technology
AKAM,Akamai Technologies Inc,Information Technology
ADS,Alliance Data Systems,Information Technology
GOOGL,Alphabet Inc Class A,Information Technology
GOOG,Alphabet Inc Class C,Information Technology
ADI,"Analog Devices, Inc.",Information Technology
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc,Information Technology
ADSK,Autodesk Inc,Information Technology
ADP,Automatic Data Processing,Information Technology
AVGO,Avago Technologies,Information Technology
CA,"CA, Inc.",Information Technology
CSCO,Cisco Systems,Information Technology
CTXS,Citrix Systems,Information Technology
CTSH,Cognizant Technology Solutions,Information Technology
EBAY,eBay Inc.,Information Technology
EA,Electronic Arts,Information Technology
EMC,EMC Corp.,Information Technology
EQIX,Equinix,Information Technology
FFIV,F5 Networks,Information Technology
FB,Facebook,Information Technology
FIS,Fidelity National Information Services,Information Technology
FSLR,First Solar Inc,Information Technology
FISV,Fiserv Inc,Information Technology
GPN,Global Payments Inc,Information Technology
HRS,Harris Corporation,Information Technology
HPQ,HP Inc.,Information Technology
INTC,Intel Corp.,Information Technology
IBM,International Bus. Machines,Information Technology
INTU,Intuit Inc.,Information Technology
JNPR,Juniper Networks,Information Technology
KLAC,KLA-Tencor Corp.,Information Technology
LRCX,Lam Research,Information Technology
LLTC,Linear Technology Corp.,Information Technology
MA,Mastercard Inc.,Information Technology
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
MSI,Motorola Solutions Inc.,Information Technology
NTAP,NetApp,Information Technology
NFLX,Netflix Inc.,Information Technology
NVDA,Nvidia Corporation,Information Technology
ORCL,Oracle Corp.,Information Technology
PAYX,Paychex Inc.,Information Technology
PYPL,PayPal,Information Technology
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM Inc.,Information Technology
RHT,Red Hat Inc.,Information Technology
CRM,Salesforce.com,Information Technology
STX,Seagate Technology,Information Technology
SWKS,Skyworks Solutions,Information Technology
SYMC,Symantec Corp.,Information Technology
TEL,TE Connectivity Ltd.,Information Technology
TDC,Teradata Corp.,Information Technology
TXN,Texas Instruments,Information Technology
TSS,Total System Services,Information Technology
VRSN,Verisign Inc.,Information Technology
V,Visa Inc.,Information Technology
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
XRX,Xerox Corp.,Information Technology
XLNX,Xilinx Inc,Information Technology
YHOO,Yahoo Inc.,Information Technology